time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,BlkCnt,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,FeeTotNtv,FlowInExNtv,FlowInExUSD,FlowOutExNtv,FlowOutExUSD,HashRate,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,SplyExNtv,SplyExUSD,SplyExpFut10yr,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2009-01-03,0.0,0.0,1614334883.0,1614334883.0,0.0,,,,0.0,0.0,,0.0,,,,,1.0,,,,,,,,0.0,0.0,,,0.0,0.0,
2009-01-04,0.0,0.0,1614334883.0,1614334883.0,0.0,,,,0.0,0.0,,0.0,,,,,1.0,,,,,,,,0.0,0.0,,,0.0,0.0,
2009-01-05,0.0,0.0,1614334883.0,1614334883.0,0.0,,,,0.0,0.0,,0.0,,,,,1.0,,,,,,,,0.0,0.0,,,0.0,0.0,
2009-01-06,0.0,0.0,1614334884.0,1614334884.0,0.0,,,,0.0,0.0,,0.0,,,,,1.0,,,,,,,,0.0,0.0,,,0.0,0.0,
2009-01-07,0.0,0.0,1614334885.0,1614334885.0,0.0,,,,0.0,0.0,,0.0,,,,,1.0,,,,,,,,0.0,0.0,,,0.0,0.0,
2009-01-08,0.0,0.0,1614334885.0,1614334885.0,0.0,,,,0.0,0.0,,0.0,,,,,1.0,,,,,,,,0.0,0.0,,,0.0,0.0,
2009-01-09,19.0,19.0,1614334886.0,1614334886.0,19.0,,,,0.0,0.0,,0.0,,9.444951229e-07,950.0,,1.0,,,,,,,,950.0,0.0,,17070250.0,0.0,0.0,
2009-01-10,61.0,80.0,1614334887.0,1614334887.0,61.0,,,,0.0,0.0,,0.0,,3.0323264474e-06,3050.0,,1.0,,,,,,,,4000.0,0.0,,17071012.5,0.0,0.0,
2009-01-11,95.0,174.0,1614334887.0,1614334887.0,93.0,,,,0.0,0.0,,0.0,,4.6230550755e-06,4650.0,,1.0,,,,,,,,8650.0,0.0,,17072175.0,1.0,1.0,
2009-01-12,101.0,272.0,1614334888.0,1614334888.0,94.0,,,,0.0,0.0,,0.0,,4.6727653451e-06,4700.0,,1.0,,,,,,,,13350.0,0.0,,17073350.0,6.0,6.0,
2009-01-13,123.0,395.0,1614334889.0,1614334889.0,123.0,,,,0.0,0.0,,0.0,,6.1143631644e-06,6150.0,,1.0,,,,,,,,19500.0,0.0,,17074887.5,0.0,0.0,
2009-01-14,133.0,522.0,1614334889.0,1614334889.0,129.0,,,,0.0,0.0,,0.0,,6.4126247822e-06,6450.0,,1.0,,,,,,,,25950.0,0.0,,17076500.0,1.0,1.0,
2009-01-15,140.0,647.0,1614334890.0,1614334890.0,126.0,,,,0.0,0.0,,0.0,,6.2634939733e-06,6300.0,,1.0,,,,,,,,32250.0,0.0,,17078075.0,8.0,7.0,
2009-01-16,114.0,753.0,1614334891.0,1614334891.0,108.0,,,,0.0,0.0,,0.0,,5.36870912e-06,5400.0,,1.0,,,,,,,,37650.0,0.0,,17079425.0,2.0,2.0,
2009-01-17,109.0,862.0,1614334891.0,1614334891.0,109.0,,,,0.0,0.0,,0.0,,5.4184193896e-06,5450.0,,1.0,,,,,,,,43100.0,0.0,,17080787.5,0.0,0.0,
2009-01-18,111.0,967.0,1614334892.0,1614334892.0,107.0,,,,0.0,0.0,,0.0,,5.3189988503e-06,5350.0,,1.0,,,,,,,,48450.0,0.0,,17082125.0,1.0,1.0,
2009-01-19,133.0,1067.0,1614334893.0,1614334893.0,115.0,,,,0.0,0.0,,0.0,,5.7166810074e-06,5750.0,,1.0,,,,,,,,54200.0,0.0,,17083562.5,2.0,2.0,
2009-01-20,123.0,1174.0,1614334893.0,1614334893.0,114.0,,,,0.0,0.0,,0.0,,5.6669707377e-06,5700.0,,1.0,,,,,,,,59900.0,0.0,,17084987.5,1.0,1.0,
2009-01-21,116.0,1265.0,1614334894.0,1614334894.0,102.0,,,,0.0,0.0,,0.0,,5.0704475022e-06,5100.0,,1.0,,,,,,,,65000.0,0.0,,17086262.5,2.0,2.0,
2009-01-22,95.0,1354.0,1614334895.0,1614334895.0,91.0,,,,0.0,0.0,,0.0,,4.5236345362e-06,4550.0,,1.0,,,,,,,,69550.0,0.0,,17087400.0,1.0,1.0,
2009-01-23,91.0,1432.0,1614334895.0,1614334895.0,84.0,,,,0.0,0.0,,0.0,,4.1756626488e-06,4200.0,,1.0,,,,,,,,73750.0,0.0,,17088450.0,1.0,1.0,
2009-01-24,212.0,1624.0,1614334896.0,1614334896.0,201.0,,,,0.0,0.0,,0.0,,9.9917641955e-06,10050.0,,1.0,,,,,,,,83800.0,0.0,,17090962.5,1.0,1.0,
2009-01-25,193.0,1815.0,1614334897.0,1614334897.0,191.0,,,,0.0,0.0,,0.0,,9.4946614992e-06,9550.0,,1.0,,,,,,,,93350.0,0.0,,17093350.0,1.0,1.0,
